TIME,VO2,VO2/kg,METS,VCO2,VE,RER,RR,Vt,FEO2,FECO2,HR,VE/VO2,VE/VCO2,PetCO2,PO,
,STPD,STPD,,STPD,BTPS,,,BTPS,,,,,,,,
min,L/min,ml/kg/m,,L/min,L/min,,BPM,L,%,%,bpm,BT/ST,BT/ST,mmHg,W,Lactate
----------,,,,,,,,,,,,,,,,
17.503672,3.50097,39.783745,11.366784,3.027006,96.592178,0.864619,25.087107,3.850272,15.975135,4.449277,145,27.590122,31.910135,29.866135,225,5.6
18.028172,3.630785,41.258919,11.788262,3.216402,105.908989,0.885869,30.505243,3.471829,16.221996,4.312958,148,29.169722,32.927788,28.801859,250,
18.513508,3.569598,40.563618,11.589605,3.213342,106.44297,0.900197,28.846153,3.690023,16.310411,4.287448,148,29.819315,33.125317,28.601048,250,
19.00601,3.561542,40.472065,11.563447,3.171775,106.176292,0.890562,28.426394,3.735131,16.318777,4.243054,150.5,29.81189,33.475353,28.22463,250,
19.513176,3.599863,40.907528,11.687865,3.201725,107.646652,0.889402,27.604338,3.899628,16.333969,4.224792,152,29.902988,33.621456,28.305061,250,
20.010344,3.783697,42.996559,12.284731,3.448797,115.420197,0.911489,30.170971,3.825538,16.40329,4.244085,152,30.504608,33.466801,28.467192,250,
20.525005,3.744473,42.550827,12.157379,3.410008,114.507233,0.910678,31.088083,3.683316,16.415281,4.229946,154,30.580336,33.57975,28.338682,250,7.1
21.020172,3.799274,43.173569,12.335305,3.436957,120.967293,0.904635,32.312351,3.743686,16.599428,4.037544,154,31.839581,35.196045,26.820278,275,
21.516338,3.750491,42.619213,12.176918,3.396031,120.713608,0.90549,32.247223,3.74338,16.645264,3.998243,155,32.186085,35.545494,26.762791,275,
22.02351,3.835824,43.588913,12.453975,3.491299,122.017479,0.910182,31.547813,3.8677,16.590261,4.065789,156,31.809977,34.949017,27.268209,275,
22.514013,3.853521,43.790009,12.511431,3.633051,131.892151,0.942787,34.658512,3.805476,16.868601,3.915537,156,34.226402,36.303413,26.087242,275,
23.030348,3.839037,43.625416,12.464404,3.608237,135.158463,0.939881,34.861198,3.877046,16.984077,3.796053,158,35.206348,37.458313,25.393538,275,
23.50318,4.077971,46.34058,13.240166,3.763913,140.198593,0.922987,38.068378,3.68281,16.903645,3.817281,159,34.379498,37.248096,25.415886,275,8.8
24.011845,3.966195,45.0704,12.877257,3.711379,140.532547,0.935753,37.352554,3.762328,17.012699,3.755687,159,35.432587,37.865322,25.025604,300,
24.515514,3.953282,44.92366,12.835332,3.678464,139.267502,0.930483,37.723358,3.691811,16.99439,3.756195,159,35.228325,37.860237,25.103456,300,
25.003349,4.168131,47.365128,13.532893,3.91405,156.046402,0.939042,40.997616,3.806231,17.219946,3.569009,161,37.437977,39.868271,23.748671,300,
25.502354,4.062565,46.165508,13.190145,3.933408,159.871078,0.968208,42.084167,3.798841,17.378595,3.501574,163,39.352253,40.644421,23.282627,300,
26.014688,4.145471,47.10762,13.45932,4.000024,164.990997,0.964914,42.9408,3.84229,17.421017,3.450967,164,39.800304,41.247498,23.036089,300,
26.500189,4.184775,47.554264,13.586932,4.013725,176.815201,0.959126,51.493313,3.433751,17.628662,3.233774,165,42.252018,44.052647,21.443764,300,
27.002188,4.079348,46.356228,13.244637,3.942744,187.71727,0.966513,66.406265,2.826801,17.894003,2.99508,165,46.016487,47.610821,19.912416,300,12.8
